MGID,GHID,MXSineMax,MYSineMax,MXAcelMax,MYAcelMax,MZAcelMax,MXSineAvg,MYSineAvg,MXAcelAvg,MYAcelAvg,MZAcelAvg,MXSineMin,MYSineMin,MXAcelMin,MYAcelMin,MZAcelMin,MTime
1001,6,3.88E-03,5.88E-03,-2.74E-02,-1.85E-02,-6.30E-03,-4.12E-03,-4.81E-03,-2.86E-02,-2.02E-02,-8.31E-03,-0.013146,-0.014589,-0.02963,-0.021852,-1.04E-02,26:28.5
1002,7,0.001689,7.14E-03,-2.11E-02,-7.04E-03,-3.70E-03,-0.006352,-1.82E-03,-2.27E-02,-8.75E-03,-5.68E-03,-0.012846,-1.02E-02,-2.41E-02,-1.04E-02,-7.41E-03,27:00.5
1003,5,0.0023,-4.43E-03,9.26E-03,-1.33E-02,7.41E-04,-5.05E-03,-0.012818,8.03E-03,-0.015035,-1.36E-03,-0.011944,-2.00E-02,6.67E-03,-1.67E-02,-0.003333,32:21.5
1004,8,4.42E-03,0.013816,-2.96E-03,5.41E-02,7.41E-04,-3.34E-03,2.51E-03,-4.53E-03,5.24E-02,-1.07E-03,-1.28E-02,-0.005306,-5.93E-03,5.07E-02,-2.96E-03,36:48.2
1005,6,0.002166,5.54E-03,-2.70E-02,-1.81E-02,-6.67E-03,-4.43E-03,-5.44E-03,-2.86E-02,-0.020152,-8.30E-03,-0.013932,-0.016073,-3.00E-02,-0.021852,-0.01,36:59.2
1006,7,9.55E-04,7.90E-03,-0.021481,-7.04E-03,-4.07E-03,-5.36E-03,-0.001539,-2.27E-02,-8.76E-03,-5.69E-03,-0.010954,-9.71E-03,-2.41E-02,-1.04E-02,-7.41E-03,37:30.5
1007,5,2.66E-03,-1.91E-03,9.26E-03,-1.30E-02,3.70E-04,-4.94E-03,-1.23E-02,8.04E-03,-0.01504,-0.001353,-0.01289,-2.03E-02,6.67E-03,-1.67E-02,-2.96E-03,42:51.8
1008,8,4.60E-03,1.53E-02,-0.003333,5.41E-02,7.41E-04,-0.003264,2.84E-03,-4.54E-03,5.24E-02,-0.001062,-0.011379,-7.27E-03,-5.93E-03,5.00E-02,-2.59E-03,47:16.9
1009,6,4.97E-03,6.94E-03,-2.70E-02,-1.81E-02,-6.67E-03,-4.96E-03,-4.69E-03,-0.028575,-2.02E-02,-8.30E-03,-0.013571,-0.017231,-3.00E-02,-0.021852,-0.01,47:29.8
1010,7,0.000457,3.40E-03,-2.11E-02,-7.04E-03,-4.07E-03,-5.81E-03,-2.94E-03,-2.27E-02,-8.78E-03,-5.70E-03,-1.48E-02,-0.011672,-2.41E-02,-1.07E-02,-7.04E-03,48:00.6
