지점,지점명,TIME,기온(°C),풍속(m/s)
138,포항,20-1-13 15:00,6.2,4.8
138,포항,20-1-13 16:00,5.9,3
138,포항,20-1-13 17:00,4.9,2.9
138,포항,20-1-13 18:00,3.5,2.3
138,포항,20-1-13 19:00,2.9,2.2
138,포항,20-1-13 20:00,2.3,2.7
138,포항,20-1-13 21:00,2,3.6
138,포항,20-1-13 22:00,1.4,1.1
138,포항,20-1-13 23:00,0.7,1.6
138,포항,20-1-14 0:00,0.4,3.5
138,포항,20-1-14 1:00,0.2,4.9
138,포항,20-1-14 2:00,-0.2,4.2
138,포항,20-1-14 3:00,-0.4,4.4
138,포항,20-1-14 4:00,-0.4,2.9
138,포항,20-1-14 5:00,-0.4,2.2
138,포항,20-1-14 6:00,-0.6,3.3
138,포항,20-1-14 7:00,-0.6,3.7
138,포항,20-1-14 8:00,-0.5,2.3
138,포항,20-1-14 9:00,0.1,3.1
138,포항,20-1-14 10:00,0.7,3
138,포항,20-1-14 11:00,2.1,1.9
138,포항,20-1-14 12:00,3.2,3.2
138,포항,20-1-14 13:00,4.9,2.8
138,포항,20-1-14 14:00,6.3,1
138,포항,20-1-14 15:00,6.5,1.8
138,포항,20-1-14 16:00,7,1.5
138,포항,20-1-14 17:00,5.9,1.7
138,포항,20-1-14 18:00,4.4,1.3
138,포항,20-1-14 19:00,2.9,0.6
138,포항,20-1-14 20:00,2.5,1.1
138,포항,20-1-14 21:00,2.2,2.3
138,포항,20-1-14 22:00,1.7,1.9
138,포항,20-1-14 23:00,0.5,0.6
138,포항,20-1-15 0:00,0.4,1.6
138,포항,20-1-15 1:00,0.3,2.8
138,포항,20-1-15 2:00,0.2,2.6
138,포항,20-1-15 3:00,-0.5,1.4
138,포항,20-1-15 4:00,-0.7,2
138,포항,20-1-15 5:00,-1,2.7
138,포항,20-1-15 6:00,-1.5,2.3
138,포항,20-1-15 7:00,-1.5,2.2
138,포항,20-1-15 8:00,-1.5,2.1
138,포항,20-1-15 9:00,0,2.4
138,포항,20-1-15 10:00,1.5,4.6
138,포항,20-1-15 11:00,3,3.9
138,포항,20-1-15 12:00,4,3.7
138,포항,20-1-15 13:00,5.1,4.5
138,포항,20-1-15 14:00,5.9,3.7
138,포항,20-1-15 15:00,6.3,3.5
138,포항,20-1-15 16:00,6.2,3.6
138,포항,20-1-15 17:00,5,2.9
138,포항,20-1-15 18:00,3.7,2.4
138,포항,20-1-15 19:00,2.9,2.6
138,포항,20-1-15 20:00,2.2,2.4
138,포항,20-1-15 21:00,1.5,2.5
138,포항,20-1-15 22:00,0.9,2.4
138,포항,20-1-15 23:00,0.3,3.6
138,포항,20-1-16 0:00,0.2,2.5
138,포항,20-1-16 1:00,-0.5,2.2
138,포항,20-1-16 2:00,-0.8,2.8
138,포항,20-1-16 3:00,-1.1,3.1
138,포항,20-1-16 4:00,-1.3,2.7
138,포항,20-1-16 5:00,-1.4,3.2
138,포항,20-1-16 6:00,-1.7,2.7
138,포항,20-1-16 7:00,-1.4,3.6
138,포항,20-1-16 8:00,-1.3,3.2
138,포항,20-1-16 9:00,-0.6,3.2
138,포항,20-1-16 10:00,1.2,2.9
138,포항,20-1-16 11:00,2.3,3.8
138,포항,20-1-16 12:00,3.9,3.1
138,포항,20-1-16 13:00,5,3.6
138,포항,20-1-16 14:00,6.7,3.3
138,포항,20-1-16 15:00,7.3,3.5
138,포항,20-1-16 16:00,7.6,2.4
138,포항,20-1-16 17:00,6.6,2.2
138,포항,20-1-16 18:00,5,2.6
138,포항,20-1-16 19:00,4,1.8
138,포항,20-1-16 20:00,3.1,1.2
138,포항,20-1-16 21:00,2.4,1.4
138,포항,20-1-16 22:00,2,1.7
138,포항,20-1-16 23:00,1.7,2.3
138,포항,20-1-17 0:00,1.2,2.1
138,포항,20-1-17 1:00,1,1.7
138,포항,20-1-17 2:00,1.3,1.7
138,포항,20-1-17 3:00,1.1,1.8
138,포항,20-1-17 4:00,1,2.2
138,포항,20-1-17 5:00,1,2.3
138,포항,20-1-17 6:00,1,2.4
138,포항,20-1-17 7:00,0.9,2.2
138,포항,20-1-17 8:00,0.9,2.2
138,포항,20-1-17 9:00,1.5,2.8
138,포항,20-1-17 10:00,2.6,2.7
138,포항,20-1-17 11:00,4.5,2.5
138,포항,20-1-17 12:00,5.3,2.5
138,포항,20-1-17 13:00,7.2,1.8
